,comp_name,comp_rating,comp_reviews,comp_type,location,salaries
0,TCS,3.3 (1.1L),1.1L,IT Services & Consulting , Bengaluru +440 other locations,1.1L
1,Accenture,3.7 (72.9k),72.9k,IT Services & Consulting , Bengaluru +259 other locations,72.9k
2,Wipro,3.6 (64.7k),64.7k,IT Services & Consulting , Hyderabad +372 other locations,64.7k
3,Cognizant,3.7 (61k),61k,IT Services & Consulting , Hyderabad +234 other locations,61k
4,Capgemini,3.7 (52.7k),52.7k,IT Services & Consulting , Bengaluru +182 other locations,52.7k
5,HDFC Bank,3.8 (51.9k),51.9k,Banking , Mumbai +1843 other locations,51.9k
6,Infosys,3.5 (48.4k),48.4k,IT Services & Consulting , Bengaluru +248 other locations,48.4k
7,ICICI Bank,4.0 (45.6k),45.6k,Banking , Mumbai +1443 other locations,45.6k
8,HCLTech,3.4 (45.6k),45.6k,IT Services & Consulting , Chennai +234 other locations,45.6k
9,Tech Mahindra,3.4 (43.1k),43.1k,IT Services & Consulting , Hyderabad +331 other locations,43.1k
10,Genpact,3.6 (41.8k),41.8k,Analytics & KPO , Hyderabad +182 other locations,41.8k
11,TP,3.8 (37.9k),37.9k,BPO , Mumbai +257 other locations,37.9k
12,Jio,4.4 (33.6k),33.6k,Telecom , Mumbai +1963 other locations,33.6k
13,Axis Bank,3.6 (32.9k),32.9k,Banking , Mumbai +1516 other locations,32.9k
14,Concentrix Corporation,3.6 (32k),32k,BPO , Bengaluru +180 other locations,32k
15,Amazon,3.9 (31.4k),31.4k,Internet , Bengaluru +525 other locations,31.4k
16,Reliance Retail,3.9 (27.3k),27.3k,Retail , Mumbai +1159 other locations,27.3k
17,iEnergizer,4.6 (27.2k),27.2k,BPO , Noida +52 other locations,27.2k
18,LTIMindtree,3.6 (26.2k),26.2k,IT Services & Consulting , Bengaluru +145 other locations,26.2k
19,IBM,3.9 (25.7k),25.7k,IT Services & Consulting , Bengaluru +161 other locations,25.7k
20,HDB Financial Services,3.9 (25.5k),25.5k,NBFC , Mumbai +1096 other locations,25.5k
21,Larsen & Toubro Limited,3.9 (23.7k),23.7k,Engineering & Construction , Chennai +762 other locations,23.7k
22,Deloitte,3.7 (22.9k),22.9k,Management Consulting , Hyderabad +189 other locations,22.9k
23,Kotak Mahindra Bank,3.6 (22.3k),22.3k,Banking , Mumbai +690 other locations,22.3k
24,Reliance Industries,4.0 (20.1k),20.1k,Oil & Gas , Jamnagar +822 other locations,20.1k
25,Vodafone Idea,3.9 (17.6k),17.6k,Telecom , Pune +709 other locations,17.6k
26,Bharti Airtel,3.8 (17k),17k,Telecom , Gurugram +794 other locations,17k
27,BYJU'S,3.2 (16.4k),16.4k,EdTech , Bengaluru +322 other locations,16.4k
28,WNS,3.3 (15.1k),15.1k,IT Services & Consulting , Pune +66 other locations,15.1k
29,IDFC FIRST Bank,3.9 (14.4k),14.4k,Banking , Mumbai +722 other locations,14.4k
30,Ernst & Young,3.4 (14.4k),14.4k,Management Consulting , Bengaluru +132 other locations,14.4k
31,Tata Motors,4.1 (14.2k),14.2k,Automobile , Pune +508 other locations,14.2k
32,IndusInd Bank,3.4 (14.2k),14.2k,Banking , Mumbai +796 other locations,14.2k
33,AU Small Finance Bank,3.9 (14.1k),14.1k,Banking , Jaipur +795 other locations,14.1k
34,Muthoot FinCorp,4.6 (13.1k),13.1k,NBFC , Bengaluru +1120 other locations,13.1k
35,Bajaj Finserv,4.0 (13k),13k,NBFC , Pune +1184 other locations,13k
36,Flipkart,3.9 (12.9k),12.9k,Internet , Bengaluru +560 other locations,12.9k
37,PwC,3.3 (12.4k),12.4k,Management Consulting , Bengaluru +136 other locations,12.4k
38,Mahindra & Mahindra,4.0 (12k),12k,Automobile , Pune +567 other locations,12k
39,Infosys BPM,3.5 (12k),12k,BPO , Bengaluru +96 other locations,12k
40,HDFC Life,3.9 (12k),12k,Insurance , Mumbai +708 other locations,12k
41,DXC Technology,3.6 (11.9k),11.9k,IT Services & Consulting , Bengaluru +131 other locations,11.9k
42,Bandhan Bank,3.7 (11k),11k,Banking , Kolkata +1005 other locations,11k
43,Digitide Solutions,3.5 (10.3k),10.3k,IT Services & Consulting , Hyderabad +273 other locations,10.3k
44,Mphasis,3.3 (10.2k),10.2k,IT Services & Consulting , Bengaluru +64 other locations,10.2k
45,Yes Bank,3.7 (10.1k),10.1k,Banking , Mumbai +543 other locations,10.1k
46,Tata Steel,4.0 (9.9k),9.9k,Iron & Steel , Jamshedpur +231 other locations,9.9k
47,Quess,3.8 (9.7k),9.7k,Recruitment , Bengaluru +750 other locations,9.7k
48,Maruti Suzuki,4.2 (9.5k),9.5k,Automobile , Gurugram +457 other locations,9.5k
49,Asian Paints,3.9 (9.5k),9.5k,Chemicals , Mumbai +555 other locations,9.5k
50,Startek,3.1 (9.4k),9.4k,BPO , Bengaluru +104 other locations,9.4k
51,UltraTech Cement,4.1 (9.4k),9.4k,Building Material , Mumbai +542 other locations,9.4k
52,Paytm,3.2 (9.3k),9.3k,FinTech , Noida +421 other locations,9.3k
53,Bajaj Finance,3.9 (9.1k),9.1k,NBFC , Pune +986 other locations,9.1k
54,Shriram Finance,4.0 (9.1k),9.1k,NBFC , Chennai +1119 other locations,9.1k
55,Sutherland Global Services,3.4 (9k),9k,BPO , Chennai +83 other locations,9k
56,Equitas Small Finance Bank,4.4 (8.8k),8.8k,Banking , Chennai +484 other locations,8.8k
57,Wells Fargo,3.6 (8.6k),8.6k,Financial Services , Bengaluru +27 other locations,8.6k
58,Cipla,4.1 (8.6k),8.6k,Pharma , Mumbai +295 other locations,8.6k
59,EXL Service,3.6 (8.5k),8.5k,Analytics & KPO , Noida +61 other locations,8.5k
60,Ericsson,3.9 (8.4k),8.4k,Telecom , Noida +163 other locations,8.4k
61,Samsung,3.9 (8.4k),8.4k,Consumer Electronics & Appliances , Noida +585 other locations,8.4k
62,Dr. Reddy's,4.0 (8.2k),8.2k,Pharma , Hyderabad +215 other locations,8.2k
63,Optum Global Solutions,4.0 (7.9k),7.9k,IT Services & Consulting , Hyderabad +68 other locations,7.9k
64,JSW Steel,3.9 (7.8k),7.8k,Iron & Steel , Ballari +195 other locations,7.8k
65,JPMorgan Chase & Co.,3.8 (7.8k),7.8k,Financial Services , Bengaluru +55 other locations,7.8k
66,Delhivery,3.8 (7.8k),7.8k,Logistics , Gurugram +762 other locations,7.8k
67,ICICI Prudential Life Insurance,3.9 (7.7k),7.7k,Insurance , Mumbai +506 other locations,7.7k
68,Hexaware Technologies,3.4 (7.6k),7.6k,IT Services & Consulting , Chennai +69 other locations,7.6k
69,Ujjivan Small Finance Bank,4.0 (7.6k),7.6k,Banking , Bengaluru +539 other locations,7.6k
70,Jana Small Finance Bank,3.8 (7.6k),7.6k,Banking , Bengaluru +421 other locations,7.6k
71,HGS,3.7 (7.6k),7.6k,Emerging Technologies , Bengaluru +122 other locations,7.6k
72,Sun Pharmaceutical Industries,4.1 (7.6k),7.6k,Pharma , Vadodara +265 other locations,7.6k
73,Amazon Development Centre India,3.8 (7.5k),7.5k,Internet , Hyderabad +146 other locations,7.5k
74,Zydus Lifesciences,4.0 (7.4k),7.4k,Pharma , Ahmedabad +179 other locations,7.4k
75,Ekart Logistics,3.9 (7.4k),7.4k,Logistics , Bengaluru +741 other locations,7.4k
76,Lupin,4.1 (7.3k),7.3k,Pharma , Pune +205 other locations,7.3k
77,L&T Construction,4.0 (7.3k),7.3k,Engineering & Construction , Chennai +435 other locations,7.3k
78,KPMG India,3.4 (7.2k),7.2k,Management Consulting , Bengaluru +112 other locations,7.2k
79,Hindustan Unilever,4.2 (7.2k),7.2k,FMCG , Mumbai +543 other locations,7.2k
80,Axis Max Life Insurance,4.0 (7.1k),7.1k,Insurance , New Delhi +505 other locations,7.1k
81,ITC,3.9 (7.1k),7.1k,FMCG , Bengaluru +379 other locations,7.1k
82,Megha Engineering & Infrastructures,3.9 (6.9k),6.9k,Engineering & Construction , Hyderabad +406 other locations,6.9k
83,Tata Projects,4.2 (6.8k),6.8k,Engineering & Construction , Mumbai +287 other locations,6.8k
84,Coforge,3.3 (6.8k),6.8k,IT Services & Consulting , Noida +103 other locations,6.8k
85,Bajaj Life Insurance,3.8 (6.6k),6.6k,Insurance , Pune +616 other locations,6.6k
86,Cholamandalam Investment & Finance,3.8 (6.6k),6.6k,Financial Services , Chennai +859 other locations,6.6k
87,FIS,3.8 (6.5k),6.5k,FinTech , Pune +60 other locations,6.5k
88,L&T Technology Services,3.1 (6.5k),6.5k,IT Services & Consulting , Bengaluru +93 other locations,6.5k
89,Oracle,3.4 (6.4k),6.4k,Software Product , Bengaluru +56 other locations,6.4k
90,Omega Healthcare,3.8 (6.4k),6.4k,BPO , Chennai +69 other locations,6.4k
91,Muthoot Finance,3.7 (6.4k),6.4k,NBFC , Bengaluru +792 other locations,6.4k
92,IIFL Finance,4.0 (6.3k),6.3k,NBFC , Mumbai +810 other locations,6.3k
93,JLL,4.1 (6.3k),6.3k,Real Estate , Gurugram +86 other locations,6.3k
94,Indian Army,4.7 (6.3k),6.3k,Defence & Aerospace , New Delhi +363 other locations,6.3k
95,eClerx,3.1 (6.2k),6.2k,IT Services & Consulting , Pune +32 other locations,6.2k
96,HCL Group,3.5 (6.1k),6.1k,IT Services & Consulting , Chennai +97 other locations,6.1k
97,DMart,3.9 (6.1k),6.1k,Retail , Mumbai +251 other locations,6.1k
98,Virtusa Consulting Services,3.7 (6.1k),6.1k,IT Services & Consulting , Hyderabad +55 other locations,6.1k
99,Piramal Finance,4.2 (6k),6k,NBFC , Mumbai +424 other locations,6k
100,HSBC Group,3.8 (6k),6k,Financial Services , Bengaluru +63 other locations,6k
101,Indiamart Intermesh,3.5 (6k),6k,Internet , Noida +174 other locations,6k
102,PolicyBazaar,3.8 (6k),6k,Internet , Gurugram +153 other locations,6k
103,SMFG India Credit,3.9 (5.9k),5.9k,NBFC , Mumbai +599 other locations,5.9k
104,Access Healthcare,3.7 (5.8k),5.8k,BPO , Chennai +63 other locations,5.8k
105,BigBasket,3.8 (5.8k),5.8k,Internet , Bengaluru +144 other locations,5.8k
106,Siemens,3.9 (5.8k),5.8k,Industrial Automation , Bengaluru +155 other locations,5.8k
107,Aurobindo Pharma,4.0 (5.8k),5.8k,Pharma , Hyderabad +115 other locations,5.8k
108,Manappuram Finance,3.9 (5.7k),5.7k,NBFC , Bengaluru +660 other locations,5.7k
109,Udaan,3.9 (5.7k),5.7k,Internet , Bengaluru +367 other locations,5.7k
110,GlobalLogic,3.5 (5.7k),5.7k,IT Services & Consulting , Hyderabad +62 other locations,5.7k
111,Firstsource Solutions,3.6 (5.7k),5.7k,BPO , Bengaluru +74 other locations,5.7k
112,ICICI Lombard General Insurance Company,3.5 (5.7k),5.7k,Insurance , Mumbai +319 other locations,5.7k
113,Tata Capital,4.0 (5.7k),5.7k,NBFC , Mumbai +450 other locations,5.7k
114,Shapoorji Pallonji Group,4.1 (5.7k),5.7k,Engineering & Construction , Mumbai +189 other locations,5.7k
115,Standard Chartered,3.6 (5.7k),5.7k,Banking , Chennai +67 other locations,5.7k
116,UST,3.7 (5.6k),5.6k,IT Services & Consulting , Bengaluru +52 other locations,5.6k
117,Apollo Hospitals,4.1 (5.6k),5.6k,Healthcare , Chennai +228 other locations,5.6k
118,Mahindra Finance,3.9 (5.6k),5.6k,NBFC , Mumbai +737 other locations,5.6k
119,Bosch Global Software Technologies,3.7 (5.6k),5.6k,IT Services & Consulting , Bengaluru +47 other locations,5.6k
