,id,original_title,popularity,release_date,title,vote_average,vote_count
0,278,The Shawshank Redemption,53.1676,1994-09-23,The Shawshank Redemption,8.718,30056
1,238,The Godfather,36.3,1972-03-14,The Godfather,8.7,22701
2,240,The Godfather Part II,26.6297,1974-12-20,The Godfather Part II,8.572,13749
3,424,Schindler's List,23.9618,1993-12-15,Schindler's List,8.567,17277
4,389,12 Angry Men,18.2003,1957-04-10,12 Angry Men,8.558,9869
5,1181678,¿Quieres ser mi hijo?,8.8111,2023-09-21,¿Quieres ser mi hijo?,8.6,307
6,129,千と千尋の神隠し,32.487,2001-07-20,Spirited Away,8.534,18137
7,155,The Dark Knight,30.2136,2008-07-16,The Dark Knight,8.528,35435
8,19404,दिलवाले दुल्हनिया ले जायेंगे,13.9711,1995-10-20,Dilwale Dulhania Le Jayenge,8.515,4572
9,497,The Green Mile,26.1986,1999-12-10,The Green Mile,8.504,19036
10,122,The Lord of the Rings: The Return of the King,29.2595,2003-12-17,The Lord of the Rings: The Return of the King,8.496,26281
11,496243,기생충,31.3445,2019-05-30,Parasite,8.493,20373
12,680,Pulp Fiction,28.3074,1994-09-10,Pulp Fiction,8.486,29943
13,372058,君の名は。,27.6691,2016-08-26,Your Name.,8.477,12406
14,157336,Interstellar,57.9049,2014-11-05,Interstellar,8.469,39296
15,429,"Il buono, il brutto, il cattivo",17.846,1966-12-23,"The Good, the Bad and the Ugly",8.468,9527
16,13,Forrest Gump,22.9393,1994-06-23,Forrest Gump,8.463,29477
17,769,GoodFellas,23.3662,1990-09-12,GoodFellas,8.452,14179
18,346,七人の侍,16.6606,1954-04-26,Seven Samurai,8.451,4168
19,12477,火垂るの墓,0.0132,1988-04-16,Grave of the Fireflies,8.444,6440
20,278,The Shawshank Redemption,53.1676,1994-09-23,The Shawshank Redemption,8.718,30056
21,238,The Godfather,36.3,1972-03-14,The Godfather,8.7,22701
22,240,The Godfather Part II,26.6297,1974-12-20,The Godfather Part II,8.572,13749
23,424,Schindler's List,23.9618,1993-12-15,Schindler's List,8.567,17277
24,389,12 Angry Men,18.2003,1957-04-10,12 Angry Men,8.558,9869
25,1181678,¿Quieres ser mi hijo?,8.8111,2023-09-21,¿Quieres ser mi hijo?,8.6,307
26,129,千と千尋の神隠し,32.487,2001-07-20,Spirited Away,8.534,18137
27,155,The Dark Knight,30.2136,2008-07-16,The Dark Knight,8.528,35435
28,19404,दिलवाले दुल्हनिया ले जायेंगे,13.9711,1995-10-20,Dilwale Dulhania Le Jayenge,8.515,4572
